Id,Label,unnamed: 0,user_id,user_language,user_country,verified,followers_count,profile_image,splitter_z_value,stat_inf_class,modularity_class,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,pr_rank,pr_rank_min-max-normalized,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Authority,Hub,Clustering Coefficient,pageranks,clustering,eigencentrality,KatzCentrality
25,rock_dumbass,25,1001487952889942016,English,Undefined_(English),False,940,1001487952889942016.png,0,796,24,0,0,0,0,0,7,7,0,8,8,0,0,7,0.29326,0.311969,0,0,2.583852,0,0,0.002814,0.190476,0.000018,0.119048,0,0
26,Auvernal,26,1001587394481618944,Portuguese,United States,False,280,1001587394481618944.png,0,182,491,0,0,0,0,0,1,1,0,1,1,0,0,7,0.271044,0.2822,0,0,697,0,0,0.000813,0,0.000018,0,0,0
27,niniomori,27,1001605896076693505,English,Undefined_(English),False,221,1001605896076693505.png,0,521,28,0,0,0,0,0,2,2,0,2,2,0,0,8,0.243939,0.255776,0,0,70.663748,0,0,0.000853,1,0.000018,0.5,0,0
28,anasapentelha,28,1001606592272486400,Portuguese,Undefined_(Portuguese),False,404,1001606592272486400.png,0,182,491,0,0,0,0,0,1,1,0,1,1,0,0,7,0.271044,0.2822,0,0,697,0,0,0.000813,0,0.000018,0,0,0
29,EmilyEggroll,29,1001623169780793344,English,Undefined_(English),False,9,1001623169780793344.png,0,74,24,0,0,0,0,0,1,1,0,1,1,0,0,8,0.220347,0.228172,0,0,64,0,0,0.000163,0,0.000018,0,0,0
30,taikinha,30,1001626339,English,Brazil,False,68,1001626339.png,0,30,469,0,0,0,0,0,1,1,0,1,1,0,0,6,0.357778,0.387164,0,0,4164,0,0,0.014377,0,0.000018,0,0,0
31,gigasleo,31,1001789334,Portuguese,Brazil,False,404,1001789334.png,0,30,469,1,0.000074,0.000074,0.000074,1,1,2,1,1,2,10656,0.000416,6,0.357778,0.387164,0,0,6.976544,0,0.000271,0.014377,1,0.000019,0.5,0.000219,0
32,NicoAugustin,32,1001956794497945605,Portuguese,Brazil,False,800,1001956794497945605.png,0,30,469,0,0,0,0,0,1,1,0,1,1,0,0,6,0.357778,0.387164,0,0,4164,0,0,0.014377,0,0.000018,0,0,0
33,paulamellog,33,1001986404455538689,Portuguese,Undefined_(Portuguese),False,486,1001986404455538689.png,0,285,34,0,0,0,0,0,1,1,0,1,1,0,0,10,0.157972,0.161982,0,0,2369,0,0,0.002955,0,0.000018,0,0,0
34,ksooulmate,34,1002022036443627520,Portuguese,Undefined_(Portuguese),False,2442,1002022036443627520.png,0,285,34,0,0,0,0,0,1,1,0,1,1,0,0,10,0.157972,0.161982,0,0,2369,0,0,0.002955,0,0.000018,0,0,0
35,gomas_redwings,35,1002056411948384256,Portuguese,Brazil,False,351,1002056411948384256.png,0,847,60,0,0,0,0,0,1,1,0,1,1,0,0,7,0.271501,0.282786,0,0,197,0,0,0.000637,0,0.000018,0,0,0
36,Beroy_Jenkins,36,1002113041,English,Brazil,False,317,1002113041.png,0,61,28,0,0,0,0,0,1,1,0,1,1,0,0,7,0.269606,0.280509,0,0,45,0,0,0.000105,0,0.000018,0,0,0
37,mfwrnanda,37,1002235453,Portuguese,Brazil,False,966,1002235453.png,0,285,23,0,0,0,0,0,2,2,0,2,2,0,0,7,0.267813,0.281224,0,0,13.836462,0,0,0.003033,1,0.000018,0.5,0,0
38,LiltCatto,38,1002290078520172544,English,Undefined_(English),False,106,1002290078520172544.png,0,21,24,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,488,0,0,0.000454,0,0.000018,0,0,0
39,Lmazeee,39,1002319216933031936,Portuguese,Undefined_(Portuguese),False,77,1002319216933031936.png,0,285,34,0,0,0,0,0,1,1,0,1,1,0,0,10,0.157972,0.161982,0,0,2369,0,0,0.002955,0,0.000018,0,0,0
40,thesn98,40,1002348014210551808,Portuguese,Brazil,False,1888,1002348014210551808.png,0,153,469,0,0,0,0,0,9,9,0,12,12,0,0,6,0.374854,0.404693,0,0,2.519971,0,0,0.021045,0.638889,0.000018,0.444444,0,0
41,CominNath,41,1002348443430420487,Portuguese,Undefined_(Portuguese),False,106,1002348443430420487.png,0,30,469,0,0,0,0,0,1,1,0,1,1,0,0,6,0.357778,0.387164,0,0,4164,0,0,0.014377,0,0.000018,0,0,0
42,morewhorethan,42,1002358297586958336,Portuguese,Brazil,False,204,1002358297586958336.png,0,285,34,0,0,0,0,0,1,1,0,1,1,0,0,10,0.157972,0.161982,0,0,2369,0,0,0.002955,0,0.000018,0,0,0
43,NickyAvila_,43,1002363608427311104,Portuguese,Brazil,False,255,1002363608427311104.png,0,285,34,0,0,0,0,0,1,1,0,1,1,0,0,10,0.157972,0.161982,0,0,2369,0,0,0.002955,0,0.000018,0,0,0
